time,2012 Denmark_HH80_SP400
28/01/2012 18.00,0.3382
28/01/2012 19.00,0.3539
28/01/2012 20.00,0.4205
28/01/2012 21.00,0.432
28/01/2012 22.00,0.3754
28/01/2012 23.00,0.4416
29/01/2012 00.00,0.2937
29/01/2012 01.00,0.3695
29/01/2012 02.00,0.4693
29/01/2012 03.00,0.4435
29/01/2012 04.00,0.3746
29/01/2012 05.00,0.3844
29/01/2012 06.00,0.3493
29/01/2012 07.00,0.3955
29/01/2012 08.00,0.3824
29/01/2012 09.00,0.423
29/01/2012 10.00,0.5639
29/01/2012 11.00,0.6703
29/01/2012 12.00,0.6945
29/01/2012 13.00,0.6501
29/01/2012 14.00,0.7986
29/01/2012 15.00,0.7531
29/01/2012 16.00,0.7739
29/01/2012 17.00,0.7778
29/01/2012 18.00,0.7455
29/01/2012 19.00,0.7589
29/01/2012 20.00,0.791
29/01/2012 21.00,0.758
29/01/2012 22.00,0.7647
29/01/2012 23.00,0.8024
30/01/2012 00.00,0.6867
30/01/2012 01.00,0.667
30/01/2012 02.00,0.654
30/01/2012 03.00,0.6224
30/01/2012 04.00,0.6161
30/01/2012 05.00,0.6412
30/01/2012 06.00,0.6225
30/01/2012 07.00,0.5299
30/01/2012 08.00,0.3974
30/01/2012 09.00,0.377
30/01/2012 10.00,0.3567
30/01/2012 11.00,0.3236
30/01/2012 12.00,0.313
30/01/2012 13.00,0.2878
30/01/2012 14.00,0.3326
30/01/2012 15.00,0.3614
30/01/2012 16.00,0.4062
30/01/2012 17.00,0.3969
30/01/2012 18.00,0.4041
30/01/2012 19.00,0.3362
30/01/2012 20.00,0.3018
30/01/2012 21.00,0.265
30/01/2012 22.00,0.2383
30/01/2012 23.00,0.2446
31/01/2012 00.00,0.5612
31/01/2012 01.00,0.5385
31/01/2012 02.00,0.491
31/01/2012 03.00,0.459
31/01/2012 04.00,0.4031
31/01/2012 05.00,0.4138
31/01/2012 06.00,0.4307
31/01/2012 07.00,0.5267
31/01/2012 08.00,0.5115
31/01/2012 09.00,0.496
31/01/2012 10.00,0.5385
31/01/2012 11.00,0.5974
31/01/2012 12.00,0.5102
31/01/2012 13.00,0.4818
31/01/2012 14.00,0.4361
31/01/2012 15.00,0.4229
31/01/2012 16.00,0.5308
31/01/2012 17.00,0.5795
31/01/2012 18.00,0.6119
31/01/2012 19.00,0.5602
31/01/2012 20.00,0.4801
31/01/2012 21.00,0.3926
31/01/2012 22.00,0.3229
31/01/2012 23.00,0.2558
01/02/2012 00.00,0.2833
01/02/2012 01.00,0.292
01/02/2012 02.00,0.2659
