Timestep,2025 - base case,2030 - base case,2035 - base case,2040 - base case,2050 - base case,2025 - re delay,2030 - re delay,2035 - re delay,2040 - re delay,2050 -re delay,2025 - ptx delay,2030 - ptx delays,2035 - ptx delay,2040 - ptx delay,2050 - ptx delay
S23-T038,75.78313402,2.259068987,3.071005846,3.071005846,2.815151919,103.6805695,5.703047896,3.071005846,3.077532099,3.07426734,72.68255011,0.000375016,2.940078005,2.94320844,2.70355788
S23-T039,75.78313402,3.071005846,3.071005846,3.071005846,2.815151919,104.694198,5.865753514,3.07426734,3.080800126,3.07426734,72.68255011,0.000375016,2.940078005,2.94320844,2.70355788
S23-T040,84.39165032,3.080800126,3.07426734,3.077532099,2.946342009,105.8346673,15.41744441,3.084071425,3.087345998,3.077532099,83.7396827,0.00093895,2.94320844,2.949478715,2.712247608
S23-T041,101.966437,44.49293322,15.4330647,16.5245927,11.75934827,111.9051777,100.1409092,52.55084612,88.85862439,105.6361958,101.966437,3.245889901,3.2390271,4.192835279,3.245889901
S23-T042,120.2900537,103.4851597,67.55922119,60.36576358,53.05694948,125.3689631,106.7814757,108.4090046,104.3960902,113.6362908,120.2892547,99.74994648,65.24018095,28.91419194,18.98211385
S23-T043,139.6015963,124.797784,71.83338054,63.0204039,55.07353324,139.5322289,120.5283842,114.7329442,110.4073015,117.1663109,138.6522434,125.5102485,70.99613644,30.72259947,19.69188614
S23-T044,145.7476532,124.9228941,71.97763811,63.21040668,55.08953677,140.2208849,120.6492207,114.8479794,110.407319,117.1663109,154.5209398,125.6360718,70.99613644,30.72259947,19.69188614
S23-T045,139.6015963,124.797784,72.2643713,63.27386777,55.08953677,139.5322289,120.5283842,115.5637256,110.4073015,117.1663109,138.6522434,125.5102485,71.13810426,30.72259947,19.69188614
S23-T046,139.6015963,124.797784,76.65792579,63.21040668,55.08953677,139.5322289,120.5283842,115.5637256,110.4073015,117.1663109,138.6522434,125.5102485,75.74158228,30.72259947,19.69188614
S23-T047,139.6015963,124.797784,88.21539124,63.20874969,55.08953677,139.5322289,120.5283842,114.8479794,110.4073015,117.1403293,138.6522434,125.5102485,85.66871941,30.72259947,19.69188614
S23-T048,137.9569459,121.7475365,72.26702066,63.14535371,55.03426,133.9628124,117.5841214,114.7329442,110.4073015,117.1403293,137.8365599,118.3298626,71.42412027,30.66081073,19.69188614
S23-T049,120.1695764,103.7026364,71.83338054,62.95719627,55.03426,124.1649093,113.8085073,112.0302498,110.186223,117.1403293,120.1687782,103.9671922,70.99613644,30.62996269,19.69188614
S23-T050,119.9259817,103.4851597,71.83338054,62.95719627,55.03426,117.8293178,113.8085073,111.9180323,110.0758495,117.0230018,119.9259817,103.2140002,70.99613644,30.62996269,19.69188614
S23-T051,111.6811423,103.4851597,71.83338054,62.89751898,55.03426,111.4021345,113.8085073,111.8059271,108.8532277,117.0230018,110.92166,103.110599,70.99613644,30.5991455,19.69188614
S23-T052,111.9051777,103.5987465,71.83338054,62.95719627,55.03426,111.4021345,113.8085073,111.9180323,110.186223,117.0230018,110.92166,103.2140002,70.99613644,30.72259947,19.69188614
S23-T053,119.9259817,105.8332466,71.90547324,63.0204039,55.08953677,111.4021345,113.8085073,114.7329442,110.2967069,117.1403293,119.9259817,105.9195619,70.99613644,30.72259947,19.69188614
S23-T054,120.1695764,120.6492207,90.15299239,63.21040668,55.08953677,123.9088631,117.5841214,115.4479746,110.2967069,117.1403293,120.1687782,119.7585253,85.49709338,30.72259947,19.69188614
S23-T055,138.4582105,124.797784,93.15800639,64.44404011,55.08953677,137.1031758,120.5283842,115.6795924,110.4073015,117.1403293,138.6258498,125.5102485,92.50048002,31.77830441,19.71178516
S23-T056,139.6015963,124.797784,93.25144506,64.33219237,55.08953677,139.5322289,117.5841214,115.7955752,110.4073015,117.2577743,138.6522434,125.5102485,92.59326051,31.74726411,19.71178516
