Forecast,Realised,OnshoreWindLt50kW_MWh,OnshoreWindGe50kW_MWh
2401.541748,3211.126461,17.812417,3193.314044
2175.833252,3281.072679,18.059005,3263.013674
2170.375,3386.744854,23.774334,3362.97052
2423.625,3328.314366,28.035144,3300.279222
2596.583252,3210.744265,27.733388,3183.010877
2574.708252,3082.984922,25.566259,3057.418663
2515.333252,2887.449118,23.536485,2863.912633
2288.166748,2552.467164,22.682168,2529.784996
2035.833374,2175.329063,18.558046,2156.771017
1723,1772.975474,11.602325,1761.373149
1439.625,1462.247032,6.10561,1456.141422
1194,1196.965768,7.251938,1189.71383
938.833313,889.150899,3.769216,885.381683
731.583313,727.702391,2.876813,724.825578
650.25,807.710275,2.675079,805.035196
755.083313,923.649307,3.913356,919.735951
795.416687,970.745068,4.039029,966.706039
741.875,888.684264,4.297056,884.387208
745.25,812.190496,6.327464,805.863032
761.541687,778.315717,6.901359,771.414358
738.25,731.980231,5.994658,725.985573
681.583313,594.095435,5.553886,588.541549
603.375,648.786532,4.391142,644.39539
618.833313,761.757271,4.518367,757.238904
672.916687,1011.739944,5.485472,1006.254472
673.666687,1203.613527,6.791349,1196.822178
675.291687,1255.617625,6.757562,1248.860063
552,1244.394949,6.799275,1237.595674
505.25,1298.044475,9.416413,1288.628062
489,1347.122277,10.522307,1336.59997
503.916656,1352.891748,10.386663,1342.505085
1404.875,1216.670851,8.076108,1208.594743
1298.791626,1117.577046,8.381263,1109.195783
1092.583374,1013.135237,7.211595,1005.923642
924.666687,929.941439,5.996127,923.945312
843.791687,846.558162,5.271052,841.28711
813.708313,712.189432,5.457762,706.73167
744.458313,618.207191,4.013961,614.19323
696.083313,668.490877,4.037697,664.45318
796.333313,853.162866,4.961545,848.201321
832.416687,1013.911886,4.824874,1009.087012
812.041687,1013.040953,4.934744,1008.106209
819.208313,1083.191739,5.622675,1077.569064
888.708313,1038.294722,5.442768,1032.851954
919.041687,1007.530226,4.466101,1003.064125
942.333313,1048.385245,5.201934,1043.183311
938.333313,1109.683361,6.818942,1102.864419
931.458313,1057.165386,7.209341,1049.956045
933.375,1098.828116,7.076814,1091.751302
901.916687,1067.605839,6.881781,1060.724058
974.333313,1021.276958,9.635337,1011.641621
1058.833374,1049.809417,7.338875,1042.470542
1175.875,1127.860574,6.329375,1121.531199
1278.666626,1345.343608,8.254279,1337.089329
1340.625,1317.901839,10.984862,1306.916977
1598.958374,1382.997632,9.22891,1373.768722
1593.041626,1478.433802,10.799412,1467.63439
1597.666626,1471.865078,13.538632,1458.326446
1638.833374,1664.708817,14.491023,1650.217794
1631.375,1712.039923,15.117585,1696.922338
1541.833374,1709.756974,15.867597,1693.889377
1303.458374,1671.023467,10.900605,1660.122862
1082.166626,1598.711361,13.146577,1585.564784
1093.291626,1413.712573,6.134743,1407.57783
1080.375,1261.01166,5.6421,1255.36956
1015.208313,1166.066299,8.785745,1157.280554
1016.083313,1118.808326,9.731258,1109.077068
917.208313,1067.32624,9.639556,1057.686684
853.583313,839.372664,8.04512,831.327544
780.083313,715.304475,7.684308,707.620167
692.416687,658.782004,4.861448,653.920556
691.75,666.057351,2.906258,663.151093
736.25,798.245958,3.25472,794.991238
711.708313,868.249621,3.175014,865.074607
776.666687,871.213954,4.00053,867.213424
836.208313,918.671512,3.425937,915.245575
842.791687,922.153643,2.81566,919.337983
789.333313,902.011082,2.295175,899.715907
706.625,808.220613,2.487017,805.733596
986.25,846.520545,2.906076,843.614469
981.166687,949.518807,3.298591,946.220216
908.333313,999.656081,3.277235,996.378846
824.625,922.537513,2.937896,919.599617
745.208313,833.427598,2.975414,830.452184
668.541687,794.865663,2.599163,792.2665
573.583313,809.105028,2.928216,806.176812
503.875,789.600857,3.056318,786.544539
540.5,740.693236,2.511712,738.181524
546.166687,598.917959,2.133929,596.78403
526.25,462.110911,1.780462,460.330449
480.583344,385.274137,1.583868,383.690269
473.625,307.971168,1.175997,306.795171
447.708344,241.593888,0.784371,240.809517
404.458344,197.753581,0.689946,197.063635
362.583344,134.518468,0.470548,134.04792
355.25,88.313106,0.342451,87.970655
343.583344,104.823478,0.632131,104.191347
303.916656,83.052969,0.483908,82.569061
286.416656,83.765417,0.436552,83.328865
300.708344,63.98357,0.264414,63.719156
283.166656,49.611915,0.22033,49.391585
251.041672,44.382048,0.21166,44.170388
218.5,28.190151,0.120215,28.069936
42,21.494888,0.082615,21.412273
40.666668,27.547523,0.056991,27.490532
43.916668,16.558232,0.06068,16.497552
49.416668,19.619925,0.07081,19.549115
58.875,19.693694,0.041614,19.65208
82.666664,19.510764,0.034858,19.475906
91.666664,35.209377,0.181318,35.028059
91,48.803356,0.727076,48.07628
113.208336,79.505815,0.16903,79.336785
133.125,88.707121,0.806432,87.900689
141.625,96.800626,0.587162,96.213464
157.791672,142.190133,0.328334,141.861799
181.625,168.575974,0.240948,168.335026
198.916672,180.596553,0.913926,179.682627
205.25,205.296142,1.042875,204.253267
209.166672,253.702408,1.149775,252.552633
239.541672,314.509449,1.152483,313.356966
271.833344,374.934003,0.556546,374.377457
257.166656,374.888742,0.870955,374.017787
257.416656,395.818664,0.717777,395.100887
259.958344,374.251703,0.358527,373.893176
274.916656,373.948919,0.519363,373.429556
289.708344,353.470323,0.674529,352.795794
299,395.5016,0.447217,395.054383
362.083344,414.756259,0.53937,414.216889
339.458344,419.558528,0.969283,418.589245
318.458344,445.48356,0.772902,444.710658
312.666656,430.21952,0.633074,429.586446
312.333344,455.245096,1.142631,454.102465
304.291656,498.618945,1.080939,497.538006
273.875,518.827001,1.2181,517.608901
238.958328,465.218997,0.808172,464.410825
246.625,422.355642,0.444065,421.911577
234.5,353.60175,0.365478,353.236272
206.666672,243.400564,0.405099,242.995465
178.041672,168.424925,0.19481,168.230115
145.583328,111.276258,0.200189,111.076069
134.666672,90.998465,0.213744,90.784721
134.958328,83.698064,0.303366,83.394698
139.166672,105.177015,0.259285,104.91773
160.583328,163.016779,0.29075,162.726029
196.666672,226.547217,0.483159,226.064058
200.458328,282.101272,0.712592,281.38868
222.041672,300.888465,0.840445,300.04802
252.416672,313.886156,1.233211,312.652945
275.375,342.513449,1.16017,341.353279
283.958344,375.494988,1.494339,374.000649
283.708344,407.917407,1.631821,406.285586
322.125,365.641415,1.615223,364.026192
312.458344,316.346005,1.510483,314.835522
305,306.807542,1.544957,305.262585
311.791656,311.926901,1.701277,310.225624
327.166656,330.313202,1.724852,328.58835
321.833344,312.737567,1.592302,311.145265
277.333344,303.665277,1.782621,301.882656
236.583328,270.143466,1.464183,268.679283
250.916672,261.115479,1.510857,259.604622
248.958328,268.395378,1.770317,266.625061
224.833328,242.358308,1.640544,240.717764
212.958328,174.310883,0.850819,173.460064
182.791672,122.633772,0.506446,122.127326
170.166672,83.377432,0.326633,83.050799
144.083328,92.787647,0.418315,92.369332
127.375,96.758872,0.543381,96.215491
123.375,85.539825,0.499423,85.040402
122.625,69.406277,0.317387,69.08889
113.875,58.476806,0.29276,58.184046
131.291672,57.171204,0.249082,56.922122
161.666672,64.07167,0.259947,63.811723
165.083328,64.56185,0.23767,64.32418
157.583328,75.988348,0.295036,75.693312
142.708328,85.212614,0.459286,84.753328
100,104.813223,0.715318,104.097905
94.5,79.211815,0.174428,79.037387
73.208336,47.296505,0.147672,47.148833
70.625,45.042378,0.181234,44.861144
88.458336,48.532412,0.229537,48.302875
103.708336,57.438441,0.364779,57.073662
95.291664,42.043898,0.076353,41.967545
86.75,37.592094,0.098348,37.493746
96.458336,45.07533,0.124238,44.951092
105.708336,48.804584,0.228579,48.576005
113.291664,45.200824,0.533385,44.667439
115.666664,37.429205,0.789653,36.639552
124.833336,49.889745,0.917037,48.972708
125.458336,34.889683,0.820867,34.068816
118.666664,29.638041,0.169059,29.468982
114.583336,27.271378,0.080128,27.19125
117.208336,25.070357,0.037577,25.03278
138.583328,43.748428,0.047535,43.700893
161.708328,80.836222,0.051924,80.784298
204.083328,152.742094,0.217425,152.524669
269.5,263.921071,0.506876,263.414195
356.083344,392.244623,0.925692,391.318931
438.958344,505.437467,1.823289,503.614178
503.083344,624.102464,2.869574,621.23289
486.375,644.701877,3.376506,641.325371
558.083313,695.029948,3.967103,691.062845
648.25,783.872742,4.341672,779.53107
689.916687,747.032911,3.068111,743.9648
694.208313,732.387028,2.974597,729.412431
688.875,773.410295,3.217086,770.193209
628.25,874.669268,4.12154,870.547728
589.708313,984.211343,4.079845,980.131498
698.541687,970.369644,4.902769,965.466875
773.833313,897.212953,5.025916,892.187037
774.875,829.29177,5.903755,823.388015
837.208313,811.020847,7.483391,803.537456
800.083313,784.859058,8.509288,776.34977
796.5,840.339563,8.406057,831.933506
827.458313,901.699639,9.639288,892.060351
850.375,1004.636936,10.244351,994.392585
906.333313,1027.340271,9.010151,1018.33012
923.333313,1015.953494,7.55314,1008.400354
837.041687,1033.891186,7.389684,1026.501502
858.708313,1114.682982,7.727613,1106.955369
946,1233.227123,9.936063,1223.29106
1030.833374,1246.805921,9.167018,1237.638903
1109.166626,1245.518799,10.568004,1234.950795
1187,1359.869521,12.891252,1346.978269
1341.291626,1451.812389,12.468509,1439.34388
1363.333374,1535.078113,12.789536,1522.288577
1389.375,1571.607156,14.021386,1557.58577
1453.083374,1618.546845,15.172773,1603.374072
1524.416626,1646.971573,14.151365,1632.820208
1564.25,1686.143483,16.062062,1670.081421
1450.25,1812.170992,18.538477,1793.632515
1333.166626,1895.056219,18.977704,1876.078515
1520.625,1930.466386,18.998505,1911.467881
1663.5,1982.07477,18.72936,1963.34541
1685.458374,2036.653984,17.924666,2018.729318
1798.458374,2137.151902,16.867689,2120.284213
1768.875,2176.820259,17.377698,2159.442561
1720.208374,2122.593468,18.357783,2104.235685
1669.291626,2028.114266,18.642885,2009.471381
1570.75,1785.65961,15.457464,1770.202146
1493.833374,1596.351581,12.656067,1583.695514
1327.583374,1478.078337,10.41968,1467.658657
1026.458374,1349.08352,8.89469,1340.18883
878.458313,1114.064081,5.826822,1108.237259
861.333313,868.125015,3.253117,864.871898
941.041687,705.255169,3.339862,701.915307
999.25,602.232392,3.63409,598.598302
999.958313,608.589056,4.082931,604.506125
811.041687,677.495217,5.580666,671.914551
858.5,742.724284,5.731967,736.992317
910.875,840.003394,6.363928,833.639466
925.958313,929.222862,5.569921,923.652941
908,927.129648,4.557597,922.572051
855.916687,964.453731,3.924966,960.528765
752.583313,900.389104,2.633443,897.755661
687.625,773.350496,2.534178,770.816318
767.291687,795.31505,2.91923,792.39582
792.083313,795.153005,3.344752,791.808253
776.333313,691.582661,4.22987,687.352791
897.75,708.754971,6.889497,701.865474
953.416687,904.292373,9.227063,895.06531
1040.5,1014.391958,11.213176,1003.178782
1170.583374,1075.336783,9.027125,1066.309658
1256.458374,1060.371691,7.595757,1052.775934
1309.958374,1099.595368,5.655168,1093.9402
1272.666626,1125.291612,4.223005,1121.068607
1089.208374,1140.502203,4.561381,1135.940822
1038.916626,973.569857,4.583051,968.986806
1082.416626,1161.50742,4.602013,1156.905407
1052.583374,1256.141213,4.168841,1251.972372
980.083313,1187.007971,3.54474,1183.463231
872.25,1028.479186,3.555199,1024.923987
838.541687,841.034858,2.682192,838.352666
772.625,747.766421,2.525767,745.240654
690.125,728.114061,2.155105,725.958956
594.291687,613.509154,1.576946,611.932208
494.916656,509.262622,1.376981,507.885641
396.083344,445.228355,0.98343,444.244925
307.041656,371.543569,0.431712,371.111857
241.833328,296.163562,0.22978,295.933782
229.291672,234.431395,0.127485,234.30391
195.958328,187.459893,0.108299,187.351594
141.458328,101.797195,0.140809,101.656386
98.916664,41.767605,0.157151,41.610454
69.875,14.098285,0.112932,13.985353
58.833332,5.218358,0.072138,5.14622
47.583332,5.130885,0.052087,5.078798
37.583332,11.552088,0.028091,11.523997
39.708332,32.339317,0.037832,32.301485
53.666668,83.764104,0.469098,83.295006
72.208336,170.513339,1.34229,169.171049
105.208336,291.61473,2.298496,289.316234
164.583328,387.846394,3.012305,384.834089
240.833328,450.80337,2.385399,448.417971
325.5,516.822982,3.047772,513.77521
395.208344,601.266661,3.145658,598.121003
612.875,632.925509,2.278812,630.646697
706.541687,694.618111,2.865224,691.752887
783.5,745.631728,3.165446,742.466282
830.166687,862.494443,3.606599,858.887844
