P_SM_t_opt_beta0,P_PPA_t_opt_beta0
41.35667999999998,3.78
18.748799999999996,3.78
40.532959999999996,3.78
13.23756,3.78
9.72594,3.78
29.1665,3.78
31.022479999999998,3.78
14.10318,3.78
10.440359999999998,3.78
32.1716,3.78
36.8399,3.78
18.298979999999997,3.78
16.96842,3.78
36.13682,3.78
13.61934,3.78
13.471919999999999,3.78
32.728559999999995,3.78
11.47986,3.78
29.60498,3.78
18.905359999999998,3.78
23.995459999999998,3.78
30.21734,3.78
27.9015,3.78
7.488179999999998,3.78
28.68266,3.78
7.0270199999999985,3.78
23.8556,3.78
26.49026,3.78
9.38196,3.78
29.907379999999996,3.78
